"TimeCreated","EventID","Level","Source","LogName","Message","Category"
"9/22/2025 1:23:15 PM","7043","Error","Service Control Manager","System","The Windows Defender Advanced Threat Protection Service service did not shut down properly after receiving a preshutdown control.","Other"
"9/22/2025 1:04:31 PM","7043","Error","Service Control Manager","System","The Windows Defender Advanced Threat Protection Service service did not shut down properly after receiving a preshutdown control.","Other"
"9/19/2025 7:01:31 AM","7043","Error","Service Control Manager","System","The Windows Defender Advanced Threat Protection Service service did not shut down properly after receiving a preshutdown control.","Other"
"9/19/2025 6:31:38 AM","7045","Information","Service Control Manager","System","A service was installed in the system.

Service Name:  MpKslc45cf98c
Service File Name:  C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{6F27DC91-7E34-4283-BBDD-12C526B321C0}\MpKslDrv.sys
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  ","Service"
"9/19/2025 6:29:46 AM","7045","Information","Service Control Manager","System","A service was installed in the system.

Service Name:  Microsoft Purview Data Loss Prevention Service
Service File Name:  ""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25080.5-0\MpDlpService.exe""
Service Type:  user mode service
Service Start Type:  auto start
Service Account:  Loca","Service"
"9/19/2025 6:29:43 AM","7045","Information","Service Control Manager","System","A service was installed in the system.

Service Name:  Microsoft Defender Core Service
Service File Name:  ""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25080.5-0\MpDefenderCoreService.exe""
Service Type:  user mode service
Service Start Type:  auto start
Service Account:  LocalSyste","Service"
"9/19/2025 6:28:48 AM","7043","Error","Service Control Manager","System","The Windows Defender Advanced Threat Protection Service service did not shut down properly after receiving a preshutdown control.","Other"
"9/19/2025 6:07:48 AM","7045","Information","Service Control Manager","System","A service was installed in the system.

Service Name:  MpKsle15be7d9
Service File Name:  C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{FBE7E464-A869-4DB9-BFF2-BF56B6779D7C}\MpKslDrv.sys
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  ","Service"
"9/19/2025 5:57:45 AM","7045","Information","Service Control Manager","System","A service was installed in the system.

Service Name:  MpKsl94ba00b0
Service File Name:  C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{50FD5CBD-65F0-4122-BD7E-D313F68BE364}\MpKslDrv.sys
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  ","Service"
"9/19/2025 5:57:03 AM","7043","Error","Service Control Manager","System","The Windows Defender Advanced Threat Protection Service service did not shut down properly after receiving a preshutdown control.","Other"
"9/19/2025 5:47:47 AM","7040","Information","Service Control Manager","System","The start type of the Windows Defender Advanced Threat Protection Service service was changed from demand start to auto start.","Service"
