"Source","Category","EventID","Count","Percentage","SampleMessage","ClassificationReason","FirstOccurrence","LastOccurrence"
"System","Non-DLP-System","7000","74","77.89","The IntelTACD service failed to start due to the following error: 
The system cannot find the file specified.","Non-DLP service: IntelTACD","9/19/2025 6:08:59 AM","9/24/2025 10:59:45 AM"
"System","Non-DLP-System","7009","7","7.37","A timeout was reached (30000 milliseconds) while waiting for the Dell TechHub service to connect.","Non-DLP service: Dell TechHub","9/19/2025 6:08:59 AM","9/19/2025 6:12:29 AM"
"System","Non-DLP-System","7031","6","6.32","The Shell Hardware Detection service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.","Non-DLP service: Shell Hardware Detection","9/19/2025 5:52:27 AM","9/22/2025 1:20:30 PM"
"System","Non-DLP-System","7023","4","4.21","The SysMain service terminated with the following error: 
The parameter is incorrect.","Non-DLP service: SysMain","9/19/2025 7:55:16 AM","9/22/2025 1:24:52 PM"
"System","Non-DLP-System","7034","1","1.05","The Dell Trusted Device service terminated unexpectedly.  It has done this 3 time(s).","Non-DLP service: Dell Trusted Device","9/19/2025 7:45:32 AM","9/19/2025 7:45:32 AM"
"System","Non-DLP-System","7043","1","1.05","The Windows Security Service service did not shut down properly after receiving a preshutdown control.","No DLP indicators found","9/22/2025 1:04:15 PM","9/22/2025 1:04:15 PM"
"System","Non-DLP-System","7030","1","1.05","The Printer Extensions and Notifications service is marked as an interactive service.  However, the system is configured to not allow interactive services.  This service may not function properly.","Non-DLP service: Printer Extensions","9/19/2025 7:57:17 AM","9/19/2025 7:57:17 AM"
"System","Non-DLP-System","7011","1","1.05","A timeout (30000 milliseconds) was reached while waiting for a transaction response from the lmhosts service.","Non-DLP service: lmhosts","9/19/2025 6:23:20 PM","9/19/2025 6:23:20 PM"
"System","DLP-Related","7043","5","100","The Windows Defender Advanced Threat Protection Service service did not shut down properly after receiving a preshutdown control.","DLP service: Windows Defender Advanced Threat Protection Service","9/19/2025 5:57:03 AM","9/22/2025 1:23:15 PM"
"Sense","DLP-Core","101","22","70.97","Windows Defender Advanced Threat Protection Network Detection and Response executable failed to start. Failure code: 0x80004002","Microsoft Defender for Endpoint core error","9/19/2025 5:57:03 AM","9/24/2025 10:36:22 AM"
"Sense","DLP-Core","405","9","29.03","Failed to communicate with authentication service. ValidateToken request failed, hresult: 0x8000FFFF,  HTTP error code: 12007 .","Microsoft Defender for Endpoint core error","9/19/2025 5:57:50 AM","9/23/2025 4:05:27 PM"
